title	text
DuoPower	"DuoPower
The duo of power and intelligence
The fischer DuoPower is an intelligent 2-component plug with three product functions. The intelligent universal plug is suitable for fixing in all building materials. This allows a variety of applications with just one plug. The fischer DuoPower adjusts itself automatically to the building material and transfers the highest loads through the three product functions of folding, expanding and knotting. The very good feedback from the plug when screwing the screw in generates extra security. The fischer DuoPower 6 x 50, 8 x 65 and 10 x 80, because of the larger anchorage depth, are particularly suitable for fixings in hollow building materials, aerated concrete and for bridge plaster.
Applications: TV consoles,Lighting,Shelves,Mirror cabinets,Letter boxes,Pictures,Fixing blinds,Curtain rails,Wash basin fixings,Plumbing and heating fixings,Bath and toilet installations,Wall cabinets,Range hood
Advantages: Two component materials for top load values and intelligent functioning depending on the substrate.,Great feedback (feel-good factor) of the plug. You can feel exactly, when the plug is installed perfectly.,The narrow plug rim prevents slipping into the drill hole.,The serrated anti-rotation feature prevents rotation in the drill hole during installation.,The greater anchorage depth of the DuoPower 6 x 50, 8 x 65 and 10 x 80 means that the plug is especially suited to fixings in hollow building materials, aerated concrete and to bridge plaster.
Materials: TV consoles,Lighting,Shelves,Mirror cabinets,Letter boxes,Pictures,Fixing blinds,Curtain rails,Wash basin fixings,Plumbing and heating fixings,Bath and toilet installations,Wall cabinets,Range hood"
DuoSeal	"DuoSeal
The sealing plug for wet areas
The fischer DuoSeal is a 2-component plug which seals the drill hole in wet areas without any additional sealing compound. The nylon plug with the enclosed screw has been independently tested by the Testing and Certification Institute of the Säure Fliesner Vereinigung e. V. The watertightness is confirmed in accordance with ETAG 022 and DIN 18534 up to the water exposure class W3-I. Taking into account the national and international sealing standards for wet areas, the DuoSeal in combination with the enclosed screw is suitable for applications in commercial, private and public wet areas which are frequently exposed to splash water and temporarily accumulated water. In any case, please take note of the generally national regulations on the use of plugs in wet areas.
Applications: Bathrooms,Kitchens,Spas,Swimming pool surroundings,Sports facilities,Laundry rooms,Accessories,Faucets,Shower panels,Mirrors,Shelves,Hair dryer holders,Kitchen accessories,Tubes
Advantages: The DuoSeal completely seals drill holes in tiles without additional sealing compound and thus prevents structural damage caused by moisture in the building material.,The DuoSeal is ideally suited for tiled surfaces which are exposed to very frequent splashing water and temporarily accumulated water.,The universal plug can be installed gently on tiles with very little effort.,It´s red component ensures a secure hold in all building materials. Thus, the DuoSeal achieves the same load values as conventional nylon plugs.,The stainless steel screw included in the set is ideally suited for installation in wet areas and avoids rusting.,The soft plastic rim closes the drill hole completely and flexibly adapts to the shape of the attachment part.
Materials: Bathrooms,Kitchens,Spas,Swimming pool surroundings,Sports facilities,Laundry rooms,Accessories,Faucets,Shower panels,Mirrors,Shelves,Hair dryer holders,Kitchen accessories,Tubes"
Universal plug UX	"Universal plug UX
The nylon plug for all building materials
The fischer universal plug UX is a plastic plug made from high-quality nylon. The universal plug expands in solid building materials and knots in hollow and panel building materials for maximum hold. This makes the fischer UX always the right choice – even if the for unknown building materials. The edge prevents it from slipping deeper during installation. In the version without edge, and larger anchorage depths, the fischer universal plug UX is suitable for push-through installation. The fischer universal plug UX is recommended, for example, for fixing lighting, curtain rails, lightweight cupboards and skirting. The fixing sets with screws, eye screws and hooks provide the optimum solution for almost all applications.
Applications: Pictures,Lighting,Skirting,Light cabinets,Towel rails,Mirror cabinets,Curtain rails,Wash basin fixings,TV consoles,Plumbing and heating fixings
Advantages: The universal operating principle (knotting or expanding) allows for use in all solid, hollow and board building materials. Thus the UX is the correct choice for unknown base materials.,The UX's angled connection ridges allow for optimum screw guidance. Serrated anti-rotation locks prevent rotation in the drill hole. This guarantees the greatest possible installation safety.,Fixing sets with screws, eye screws and hooks provide the right solution for all applications.
Materials: Pictures,Lighting,Skirting,Light cabinets,Towel rails,Mirror cabinets,Curtain rails,Wash basin fixings,TV consoles,Plumbing and heating fixings"
Universal plug UX Green	"Universal plug UX Green
The first plug made from renewable resources
The fischer universal plug UX Green is a nylon plug made from renewable raw materials. The proportion of regenerative material is more than 50%. The universal plug expands in solid building materials and knots in hollow and panel building materials for maximum hold. This makes the fischer UX Green always the right choice – even if the for unknown building materials. The edge prevents it from slipping deeper during installation. In the version without edge, and larger anchorage depths, the fischer universal plug UX is suitable for push-through installation. The fischer universal plug UX Green is available in sizes 6x35 to 12x70 and optionally with screw or hook. It can be be used with wood, chipboard as well as stud screws.
Applications: Pictures,Lighting,Skirting,Light cabinets,Towel rails,Mirror cabinets,Curtain rails,Wash basin fixings,TV consoles,Plumbing and heating fixings
Advantages: Produced with at least 50% renewable raw materials and therefore particularly environmentally friendly.,Just as effective, secure and durable as regular UX plugs.,The universal operating principle (knotting or expanding) allows for use in all solid, hollow and board building materials. Thus the UX Green is the correct choice for unknown base materials.,Plug collar for anti-slip safety and saw tooth sides as turning lock ensure the highest installation safety.
Materials: Pictures,Lighting,Skirting,Light cabinets,Towel rails,Mirror cabinets,Curtain rails,Wash basin fixings,TV consoles,Plumbing and heating fixings"
Universal plug FU	"Universal plug FU
The reliable support - even if you cannot be sure of the substrate

Applications: Shelves,Curtain rails,Skirting,Electrical installations,Mounting rails,Mirrors
Advantages: The universal design guarantees a safe installation in almost all building materials. This provides a high variety of applications.,The anti-rotattion ligs prevent the plug rotation in the drill hole for an easy installation.,The collar prevents the plug slipping into the drill hole for a syve installation.,The FU universal plug can be used with wool and chipboard screws from 3 to 6 mm. This provides a high variety of screws.
Materials: Shelves,Curtain rails,Skirting,Electrical installations,Mounting rails,Mirrors"
Expansion plug SX	"Expansion plug SX
The powerful nylon plug with 4-way expansion
The fischer expansion plug SX transfers force optimally in the building material through the 4-way expansion. Apart from the typical expansion, the high-quality nylon used for its production guarantees secure and permanent fixing. The plug is available in sizes from 4 x 20 to 16 x 80 mm and optionally with screws. The fischer expansion plug SX is the first choice when fixing, for example, lighting, lasts, bath and toilet installations and light wall cabinets in concrete and aerated concrete, but also in masonry made from solid or hollow building materials. The variants with preshaped edges prevent the plug from slipping into the drill hole. The variants with larger anchorage depths are Ideal for fixings in hollow building materials, in aerated concrete and for plaster covering.
Applications: Lighting,Wardrobes,Motion detectors,Skirting,Light shelves,Mirror cabinets,Letter boxes,TV consoles,Trellis,Folding shutters,Bath and toilet installations
Advantages: The 4-way expansion provides the optimum force distribution in the material, and offers high load-bearing capacities in solid and hollow building materials.,The expansion-free plug neck prevents the creation of expansion forces on the material surface whilst screwing in the screw. This helps to prevent damage to tiles and plaster.,The pronounced rim prevents the plug from slipping into the drill hole, thus allowing for a simple installation.,The greater anchorage depth of the SX 6x50, 8x65 and 10x80 means that the plug is especially suited to fixings in hollow building materials, aerated concrete and to bridge plaster.
Materials: Lighting,Wardrobes,Motion detectors,Skirting,Light shelves,Mirror cabinets,Letter boxes,TV consoles,Trellis,Folding shutters,Bath and toilet installations"
Expansion plug SX Green	"Expansion plug SX Green
The powerful nylon plug with 4-way expansion
The fischer expansion plug SX Green is made from more than 50 % renewable raw materials. The plug is available in sizes from 5 x 25 to 12 x 60 mm and optionally with screws or hooks. The plug transfers the force optimally into the building material through the 4-way expansion. The anti-rotation lock fixes the SX Green tightly in the drill hole. The fischer expansion plug SX Green is the first choice for fixing lighting, lasts, bath and toilet installations, for example, as well as light-weight wall cabinets. The preshaped edge on the plug head prevents the plug from slipping into the drill hole. The variants with larger anchorage depths and without edges are Ideal for fixings in hollow building materials, in aerated concrete and for plaster covering.
Applications: Lighting,Wardrobes,Motion detectors,Skirting,Light shelves,Mirror cabinets,Letter boxes,TV consoles,Trellis,Folding shutters,Bath and toilet installations
Advantages: Produced with at least 50% renewable raw materials and therefore particularly environmentally friendly.,Just as effective, secure and durable as regular SX plugs.,The powerful 4-way expansion provides optimum force transmission in the building material, thus enabling high load values and security.,The anti-rotation lock prevents the plug from spinning in the drill hole.,The expansion-free plug neck prevents the creation of expansion forces on the material whilst screwing in the screw. This helps to prevent damage to tiles and plaster.,Fast and easy push-through installation reduces installation time.
Materials: Lighting,Wardrobes,Motion detectors,Skirting,Light shelves,Mirror cabinets,Letter boxes,TV consoles,Trellis,Folding shutters,Bath and toilet installations"
Threaded rod plug RodForce FGD	"Threaded rod plug RodForce FGD
The economical hammerset plug - easy and quick fixing of threaded rods
The fischer threaded rod plug RodForce FGD is an economical hammerset solution for fixing standard threaded rods in solid building materials. The nylon plug can be hammered-in easily and quickly using a hammer without special tools. The short plug length prevents reinforcement hits and reduces drilling effort. The visible edge of the plug serves as visual setting check and guarantees a correct setting. The closed plug tip is used to check the setting depth as a stop point. This predetermined break point also allows the threaded rod to be hammered-in deeper.
Applications: Suspension for individual pipes,Plumbing and heating fixings,Cable and pipe clips,Ceiling lights,Consoles,Mounting rails
Advantages: The innovative plug geometry allows quick and easy installation of the threaded rod with a few hammer blows.,The short plug length prevents reinforcement hits and guarantees a secure utilization in reinforced concrete.,The teeth inside the plug allow standard, metric threads to be held: This saves a large assortment of stud screws.,Installation without special tools: The only thing needed to set the plug is a hammer.Visible edge of the plug serves as visual setting check and guarantees correct setting.,The visible edge of the plug serves as visual setting check and guarantees correct setting.,Easy to check and adjust: To check the setting depth, the closed plug tip is used as a stop point. This predetermined break point also allows the threaded rod to be hammered-in deeper.
Materials: Suspension for individual pipes,Plumbing and heating fixings,Cable and pipe clips,Ceiling lights,Consoles,Mounting rails"
Expansion plug S	"Expansion plug S
The installation-friendly nylon plug with 2-way expansion
The fischer expansion plug S is the original. The plastic fixing is made from high-quality nylon and is particularly robust. The fischer expansion plug S is offered for fixings in drill diameters from 4 to 20 mm and therefore can be used in a variety of applications. The lean plug geometry simplifies installation. The characteristic anti-rotation locks prevent the plug from rotating as the screw is tightened. Wood or chipboard screws can be used to fix the object. The fischer expansion plug S is ideal for fixing light objects in concrete and solid masonry.
Applications: Pictures,Lighting,Skirting,Light shelves,Mirror cabinets,Letter boxes,Motion detectors,Information boards,Curtain rails,Electrical installations
Advantages: The rimless plug sleeve allows for the plug to be set as deep as required below the plaster to the bearing substrate to achieve the maximum load-bearing capacity.,As the plug only expands in two directions, it is possible to direct the expansion forces so that they run parallel to the edge of the building material by turning the plug. This allows for smaller edge distances.,The slimline plug geometry makes it easy to push the plug into the drill hole. For a fast and simple installation.,The anti-rotation lock prevents the plug rotating in the drill hole, thus guaranteeing a high level of installation safety.
Materials: Pictures,Lighting,Skirting,Light shelves,Mirror cabinets,Letter boxes,Motion detectors,Information boards,Curtain rails,Electrical installations"
Expansion plug M-S	"Expansion plug M-S
The expansion plug for metric screws and threaded bolts
The fischer anchor M-S is an expansion plug made from high-quality nylon for screws and threaded rods with a metric thread. The fischer anchor M-S is ideal for fixing handless, folding shutters or downpipes in concrete, aerated concrete, solid gypsum panels and other solid and hollow building materials. The special anchor can be used in pre-installation and the time-saving push-through installation. When screwing in the screw, the M-S expands and anchors itself in the drill hole. The slimline plug geometry makes it easy to push the plug into the drill hole, for a fast and simple installation.
Applications: Handles,Folding shutters,Trellis,Downpipes,Stand-off installation,Window fittings,Gratings
Advantages: The internal geometry of the M-S allows for the use of standard metric screws or threaded rods for the ideal adaptation to suit the intended use.,The rimless plug sleeve allows for the plug to be set as deep as required below the plaster to the bearing substrate to achieve the maximum load-bearing capacity.,As the plug only expands in two directions, it is possible to direct the expansion forces so that they run parallel to the edge of the building material by turning the plug. This allows for smaller edge distances.,The slimline plug geometry makes it easy to push the plug into the drill hole, for a fast and simple installation.
Materials: Handles,Folding shutters,Trellis,Downpipes,Stand-off installation,Window fittings,Gratings"
